Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10
"HotBot ","RAD-FLOW1-101","(deprecated) Hot water flow sensor cable v1","FY21 - pre-VAT registration","Finished Products FY21","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-101","(deprecated) Hot water flow sensor cable v1","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Balwin Cape Town","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Balwin Johannesburg","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Installer van stock","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Installer van stock","Home Assist - GP - Nivroc","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Installer van stock","PlumbGuarantee","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Plentify JHB","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-211","(deprecated) Hot water flow sensor cable v2.1.1","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,1.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - HotBot","CON-THL-0011","01x03 6.35mm pitch screw terminal","Barracuda (assemblies)","","",,"",3147.2127,600.0000,0.0000,600.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"AC_IN","","","","","","","GS008-6.35-03P-1x-xxx","",""
"Raw materials - HotBot","CON-THL-0011","01x03 6.35mm pitch screw terminal","FY21 - pre-VAT registration","Main","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"AC_IN","","","","","","","GS008-6.35-03P-1x-xxx","",""
"Raw materials - HotBot","CON-THL-0011","01x03 6.35mm pitch screw terminal","Plentify Office - Oude Molen","","",,"",50868.4844,9513.0000,0.0000,9513.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"AC_IN","","","","","","","GS008-6.35-03P-1x-xxx","",""
